name,nobjquadnegev,nintvars,nnlvars,nsos1,nsos2,conscurvature,njacobiannz,nlaghessiandiagnz,ncontvars,nquadfunc,laghessianmaxblocksize,objsense,nbinvars,nlnz,convex,nz,nobjquadposev,laghessianminblocksize,nobjquadnz,solsource,nlaghessianblocks,donor,nsemi,nlaghessiannz,laghessianavgblocksize,ncons,nconcavenlcons,nnlbinvars,nconvexnlcons,nquadcons,nvars,nobjnlnz,solinfeasibility,objcurvature,nindefinitenlcons,nnlintvars,ndiagquadcons,nnlsemi,nobjnz,nlincons,nsingleboundedvars,nlinfunc,nboundedvars,njacobiannlnz,nobjquaddiagnz,objtype,probtype,solobjvalue,nnlfunc,density,nldensity,objquaddensity,objquadproblevfrac
QPLIB_10006,0,0,3125,0,0,convex,7976,3125,1250,1,3092,min,1875,3125,True,9851,0,1,0,Solution found by GUROBI,28,Pietro Belotti,0,6032793,111.607143,1490,0,1875,1,1,3125,0,0.0,linear,0,0,0,0,1875,1489,0,1490,1250,3125,0,linear,LMC,-12527.2,1,0.00211423205902,1.0,0.0,0.0
QPLIB_10007,0,0,4375,0,0,convex,11170,4375,1750,1,4327,min,2625,4375,True,13795,0,1,0,Solution found by GUROBI,41,Pietro Belotti,0,10856225,106.707317,2087,0,2625,1,1,4375,0,0.0,linear,0,0,0,0,2625,2086,0,2087,1750,4375,0,linear,LMC,-17869.72,1,0.00151012588944,1.0,0.0,0.0
QPLIB_10008,0,0,845,0,0,convex,2386,845,132,1,683,min,713,845,True,3099,0,1,0,Solution found by BARON,158,Pietro Belotti,0,23923,5.348101,416,0,713,1,1,845,0,0.0,linear,0,0,0,0,713,415,0,416,132,845,0,linear,LMC,-23176.19,1,0.00879485760504,1.0,0.0,0.0
QPLIB_10009,0,0,605,0,0,convex,1566,605,132,1,349,min,473,605,True,2039,0,1,0,Solution found by BARON,193,Pietro Belotti,0,12205,3.134715,246,0,473,1,1,605,0,0.0,linear,0,0,0,0,473,245,0,246,132,605,0,linear,LMC,-23176.19,1,0.0136447284773,1.0,0.0,0.0
QPLIB_10010,0,0,269,0,0,convex,821,269,7,1,165,min,262,269,True,1083,0,1,0,Solution found by BARON,17,Pietro Belotti,0,6287,15.823529,147,0,262,1,1,269,0,0.0,linear,0,0,0,0,262,146,0,147,7,269,0,linear,LMC,-23003.31,1,0.027202853411,1.0,0.0,0.0
QPLIB_10011,0,0,1390,0,0,convex,4390,1390,132,1,1249,min,1258,1390,True,5648,0,1,0,Solution found by BARON,130,Pietro Belotti,0,65674,10.692308,873,0,1258,1,1,1390,0,0.0,linear,0,0,0,0,1258,872,0,873,132,1390,0,linear,LMC,-23176.19,1,0.00464909536901,1.0,0.0,0.0
QPLIB_10012,0,0,967,0,0,convex,2874,967,132,1,804,min,835,967,True,3709,0,1,0,Solution found by BARON,158,Pietro Belotti,0,34763,6.120253,538,0,835,1,1,967,0,0.0,linear,0,0,0,0,835,537,0,538,132,967,0,linear,LMC,-23176.19,1,0.0071160926531,1.0,0.0,0.0
QPLIB_10013,0,0,10800,0,0,indefinite,169943,10800,18106,3600,1,min,3600,10800,False,184343,0,1,0,Solution found by GUROBI,10800,Fabio Furini and Antonio Frangioni,0,10800,1.0,59568,0,0,0,3600,21706,0,3.618652045e-10,linear,3600,0,3600,0,14400,55968,3600,55969,0,10800,0,linear,LMQ,27642056.81,3600,0.000142569472488,0.000277777777778,0.0,0.0
QPLIB_10014,0,0,10800,0,0,indefinite,169512,10800,18113,3600,1,min,3600,10800,False,183912,0,1,0,Solution found by GUROBI,10800,Fabio Furini and Antonio Frangioni,0,10800,1.0,59434,0,0,0,3600,21713,0,5.820766091e-11,linear,3600,0,3600,0,14400,55834,3600,55835,0,10800,0,linear,LMQ,25579413.86,3600,0.000142510862286,0.000277777777778,0.0,0.0
QPLIB_10015,0,0,10800,0,0,indefinite,156000,10800,23527,3600,1,min,3600,10800,False,170400,0,1,0,Solution found by ALPHAECP,10800,Fabio Furini and Antonio Frangioni,0,10800,1.0,53683,0,0,0,3600,27127,0,5.820766091e-11,linear,3600,0,3600,0,14400,50083,3600,50084,0,10800,0,linear,LMQ,27069722.86,3600,0.000117009993535,0.000277777777778,0.0,0.0
QPLIB_10016,0,0,10800,0,0,indefinite,157098,10800,23524,3600,1,min,3600,10800,False,171498,0,1,0,Solution found by CPLEX,10800,Fabio Furini and Antonio Frangioni,0,10800,1.0,54027,0,0,0,3600,27124,0,1.164153218e-10,linear,3600,0,3600,0,14400,50427,3600,50428,0,10800,0,linear,LMQ,29934289.13,3600,0.000117027097225,0.000277777777778,0.0,0.0
QPLIB_10017,0,0,14400,0,0,indefinite,226138,14400,24149,4800,1,min,4800,14400,False,245338,0,1,0,Solution found by GUROBI,14400,Fabio Furini and Antonio Frangioni,0,14400,1.0,79251,0,0,0,4800,28949,0,1.164153218e-10,linear,4800,0,4800,0,19200,74451,4800,74452,0,14400,0,linear,LMQ,31154937.63,4800,0.000106935283081,0.000208333333333,0.0,0.0
QPLIB_10018,0,0,14400,0,0,indefinite,228711,14400,24145,4800,1,min,4800,14400,False,247911,0,1,0,Solution found by GUROBI,14400,Fabio Furini and Antonio Frangioni,0,14400,1.0,80093,0,0,0,4800,28945,0,5.820766091e-11,linear,4800,0,4800,0,19200,75293,4800,75294,0,14400,0,linear,LMQ,34222560.14,4800,0.000106935587513,0.000208333333333,0.0,0.0
QPLIB_10019,0,0,14400,0,0,indefinite,207160,14400,31370,4800,1,min,4800,14400,False,226360,0,1,0,Solution found by GUROBI,14400,Fabio Furini and Antonio Frangioni,0,14400,1.0,71284,0,0,0,4800,36170,0,2.910383046e-11,linear,4800,0,4800,0,19200,66484,4800,66485,0,14400,0,linear,LMQ,40389511.78,4800,8.77916118171e-05,0.000208333333333,0.0,0.0
QPLIB_10020,0,0,14400,0,0,indefinite,208401,14400,31372,4800,1,min,4800,14400,False,227601,0,1,0,Solution found by GUROBI,14400,Fabio Furini and Antonio Frangioni,0,14400,1.0,71712,0,0,0,4800,36172,0,1.250270998e-10,linear,4800,0,4800,0,19200,66912,4800,66913,0,14400,0,linear,LMQ,33161690.23,4800,8.77412369754e-05,0.000208333333333,0.0,0.0
QPLIB_10021,0,0,9000,0,0,indefinite,39000,9000,12000,3000,1,min,3000,9000,False,48000,0,1,0,Solution found by CPLEX,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12155,0,0,0,3000,15000,0,2.328306437e-10,linear,3000,0,3000,0,9000,9155,0,9156,3000,9000,0,linear,LMQ,305256.2943,3000,0.000263244488319,0.000333333333333,0.0,0.0
QPLIB_10022,0,0,9000,0,0,indefinite,39000,9000,12000,3000,1,min,3000,9000,False,48000,0,1,0,Solution found by LOCALSOLVER,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12155,0,0,0,3000,15000,0,1.164153218e-10,linear,3000,0,3000,0,9000,9155,0,9156,3000,9000,0,linear,LMQ,13560027.75,3000,0.000263244488319,0.000333333333333,0.0,0.0
QPLIB_10023,0,0,9000,0,0,indefinite,39000,9000,12000,3000,1,min,3000,9000,False,48000,0,1,0,Solution found by GUROBI,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12155,0,0,0,3000,15000,0,1.164153218e-10,linear,3000,0,3000,0,9000,9155,0,9156,3000,9000,0,linear,LMQ,721348.9732,3000,0.000263244488319,0.000333333333333,0.0,0.0
QPLIB_10024,0,0,9000,0,0,indefinite,39000,9000,12000,3000,1,min,3000,9000,False,48000,0,1,0,Solution found by SCIP,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12089,0,0,0,3000,15000,0,2.910383046e-11,linear,3000,0,3000,0,9000,9089,0,9090,3000,9000,0,linear,LMQ,115311.7109,3000,0.000264681555004,0.000333333333333,0.0,0.0
QPLIB_10025,0,0,1200,0,0,indefinite,6400,1200,1600,401,400,min,400,1600,False,7200,400,1,80200,Solution found by CPLEX,801,Fabio Furini and Antonio Frangioni,0,160800,1.498127,2003,0,0,0,400,2000,400,3.552713679e-15,convex,400,0,400,0,800,1603,400,1603,0,1200,400,quadratic,CMQ,128.9160937,401,0.00179640718563,0.00332502078138,1.0,0.0
QPLIB_10026,0,0,1200,0,0,indefinite,6400,1200,1600,401,400,min,400,1600,False,7200,400,1,80200,Solution found by GUROBI,801,Fabio Furini and Antonio Frangioni,0,160800,1.498127,2003,0,0,0,400,2000,400,3.929536135e-11,convex,400,0,400,0,800,1603,400,1603,0,1200,400,quadratic,CMQ,143.8460104,401,0.00179640718563,0.00332502078138,1.0,0.0
QPLIB_10027,0,0,1200,0,0,indefinite,6400,1200,1600,401,400,min,400,1600,False,7200,400,1,80200,Solution found by GUROBI,801,Fabio Furini and Antonio Frangioni,0,160800,1.498127,2003,0,0,0,400,2000,400,2.960511836e-10,convex,400,0,400,0,800,1603,400,1603,0,1200,400,quadratic,CMQ,130.5620185,401,0.00179640718563,0.00332502078138,1.0,0.0
QPLIB_10028,0,0,1200,0,0,indefinite,6400,1200,1600,401,400,min,400,1600,False,7200,400,1,80200,Solution found by GUROBI,801,Fabio Furini and Antonio Frangioni,0,160800,1.498127,2003,0,0,0,400,2000,400,3.552713679e-15,convex,400,0,400,0,800,1603,400,1603,0,1200,400,quadratic,CMQ,125.061293,401,0.00179640718563,0.00332502078138,1.0,0.0
QPLIB_10029,0,0,1200,0,0,indefinite,6400,1200,1600,401,400,min,400,1600,False,7200,400,1,80200,Solution found by CPLEX,801,Fabio Furini and Antonio Frangioni,0,160800,1.498127,2003,0,0,0,400,2000,400,1.065814104e-14,convex,400,0,400,0,800,1603,400,1603,0,1200,400,quadratic,CMQ,133.9004219,401,0.00179640718563,0.00332502078138,1.0,0.0
QPLIB_10030,0,0,9000,0,0,indefinite,36000,9000,12000,3000,1,min,3000,9000,False,42000,0,1,0,Solution found by CPLEX,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12001,0,0,0,3000,15000,0,1.818989404e-12,linear,3000,0,3000,0,6000,9001,3000,9002,0,9000,0,linear,LMQ,14509419100.0,3000,0.000233294450925,0.000333333333333,0.0,0.0
QPLIB_10031,0,0,9000,0,0,indefinite,36000,9000,12000,3000,1,min,3000,9000,False,42000,0,1,0,Solution found by CPLEX,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12001,0,0,0,3000,15000,0,4.547473509e-13,linear,3000,0,3000,0,6000,9001,3000,9002,0,9000,0,linear,LMQ,14426129190.0,3000,0.000233294450925,0.000333333333333,0.0,0.0
QPLIB_10032,0,0,9000,0,0,indefinite,36000,9000,12000,3000,1,min,3000,9000,False,42000,0,1,0,Solution found by LINDO,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12001,0,0,0,3000,15000,0,9.094947018e-13,linear,3000,0,3000,0,6000,9001,3000,9002,0,9000,0,linear,LMQ,14465998210.0,3000,0.000233294450925,0.000333333333333,0.0,0.0
QPLIB_10033,0,0,9000,0,0,indefinite,36000,9000,12000,3000,1,min,3000,9000,False,42000,0,1,0,Solution found by BARON,9000,Fabio Furini and Antonio Frangioni,0,9000,1.0,12001,0,0,0,3000,15000,0,5.006768333e-10,linear,3000,0,3000,0,6000,9001,3000,9002,0,9000,0,linear,LMQ,14487197690.0,3000,0.000233294450925,0.000333333333333,0.0,0.0
QPLIB_10034,0,0,401,0,0,linear,239603,401,40400,1,1,min,0,401,True,240004,401,1,401,Solution found by SCIP,401,Hans Mittelmann,0,401,1.0,40200,0,0,0,0,40400,401,1.273292582e-11,convex,0,0,0,0,401,40200,0,40200,401,0,401,quadratic,DCL,-0.06601017605,1,0.000147774758571,1.0,0.00249376558603,0.0
QPLIB_10035,0,0,600,0,0,indefinite,240005,600,40401,201,1,min,0,601,False,240006,0,1,0,Solution found by BARON,600,Hans Mittelmann,0,600,1.0,40201,0,0,1,201,40401,0,9.3157837e-10,linear,200,0,201,0,1,40000,0,40001,600,601,0,linear,LCQ,0.0005420935803,201,0.00014776865653,0.00498341625207,0.0,0.0
QPLIB_10036,0,0,600,0,0,indefinite,240005,600,40401,201,1,min,0,601,False,240006,0,1,0,Solution found by COUENNE,600,Hans Mittelmann,0,600,1.0,40201,0,0,1,201,40401,0,0.0,linear,200,0,201,0,1,40000,0,40001,600,601,0,linear,LCQ,0.06666666666,201,0.00014776865653,0.00498341625207,0.0,0.0
QPLIB_10037,0,0,40400,0,0,indefinite,240005,600,40401,40001,40200,min,0,238804,False,240006,0,1,0,Solution found by SCIP,201,Hans Mittelmann,0,239800,200.995025,40201,0,0,1,40001,40401,0,1.397146288e-14,linear,40000,0,201,0,1,200,0,201,200,238804,0,linear,LCQ,0.06637131601,40001,0.00014776865653,0.000147771058199,0.0,0.0
QPLIB_10038,0,0,801,0,0,linear,959203,801,160800,1,1,min,0,801,True,960004,801,1,801,Solution found by SCIP,801,Hans Mittelmann,0,801,1.0,160400,0,0,0,0,160800,801,0.0,convex,0,0,0,0,801,160400,0,160400,801,0,801,quadratic,DCL,0.0,1,3.72203049193e-05,1.0,0.00124843945069,0.0
QPLIB_10039,0,0,12096,0,0,indefinite,94285,12096,12097,193,1,min,0,12288,False,94286,0,1,0,Solution found by ANTIGONE,12096,Hans Mittelmann,0,12096,1.0,11906,0,0,0,193,12097,0,1.87771465e-11,linear,193,0,193,0,1,11713,0,11714,192,12288,0,linear,LCQ,2.316338609,193,0.000654586700451,0.00526359075582,0.0,0.0
QPLIB_10040,11,0,125,0,0,linear,750,125,0,1,124,min,125,125,False,875,114,1,7299,Solution found by SCIP,2,Andrea Lodi,0,14473,62.5,6,0,125,0,0,125,125,0.0,indefinite,0,0,0,0,125,6,0,6,0,0,125,quadratic,QBL,-0.0,1,1.0,1.0,0.926272,0.088
QPLIB_10041,5,0,124,0,0,linear,750,124,0,1,124,min,125,124,False,874,25,124,7739,Solution found by SCIP,1,Andrea Lodi,0,15354,124.0,6,0,124,0,0,125,124,0.0,indefinite,0,0,0,0,124,6,0,6,0,0,124,quadratic,QBL,-0.0,1,0.998857142857,1.0,0.998569198751,0.04
QPLIB_10042,1,0,124,0,0,linear,625,124,0,1,124,min,125,124,False,750,123,124,7743,Solution found by BARON,1,Andrea Lodi,0,15362,124.0,5,0,124,0,0,125,124,0.0,indefinite,0,0,0,0,125,5,0,5,0,0,124,quadratic,QBL,-20.8819262,1,1.0,1.0,0.999089490114,0.008
QPLIB_10043,7,0,148,0,0,linear,1498,148,0,1,148,min,150,148,False,1646,141,148,10661,Solution found by SCIP,1,Andrea Lodi,0,21174,148.0,10,0,148,0,0,150,148,0.0,indefinite,0,0,0,0,148,10,0,10,0,0,148,quadratic,QBL,-0.0,1,0.997575757576,1.0,0.966672753835,0.0466666666667
QPLIB_10044,12,0,148,0,0,linear,900,148,0,1,146,min,150,148,False,1050,136,1,10697,Solution found by CPLEX,3,Andrea Lodi,0,21246,49.333333,6,0,148,0,0,150,148,0.0,indefinite,0,0,0,0,150,6,0,6,0,0,148,quadratic,QBL,-7.868866549,1,1.0,1.0,0.96995982469,0.08
QPLIB_10045,13,0,143,0,0,linear,1498,143,0,1,143,min,150,143,False,1641,130,143,10234,Solution found by SCIP,1,Andrea Lodi,0,20325,143.0,10,0,143,0,0,150,143,0.0,indefinite,0,0,0,0,143,10,0,10,0,0,143,quadratic,QBL,-0.0,1,0.994545454545,1.0,0.993936133796,0.0866666666667
QPLIB_10046,1,0,147,0,0,linear,900,147,0,1,144,min,150,147,False,1050,146,1,10022,Solution found by SCIP,4,Andrea Lodi,0,19897,36.75,6,0,147,0,0,150,147,0.0,indefinite,0,0,0,0,150,6,0,6,0,0,147,quadratic,QBL,-0.7127002361,1,1.0,1.0,0.920773751678,0.00666666666667
QPLIB_10047,7,0,150,0,0,linear,1498,150,0,1,150,min,150,150,False,1648,76,150,11318,Solution found by SCIP,1,Andrea Lodi,0,22486,150.0,10,0,150,0,0,150,150,0.0,indefinite,0,0,0,0,150,10,0,10,0,0,150,quadratic,QBL,-0.0,1,0.998787878788,1.0,0.999377777778,0.0466666666667
QPLIB_10048,2,0,149,0,0,linear,750,149,0,1,149,min,150,149,False,900,77,149,11167,Solution found by CPLEX,1,Andrea Lodi,0,22185,149.0,5,0,149,0,0,150,149,0.0,indefinite,0,0,0,0,150,5,0,5,0,0,149,quadratic,QBL,-13.56267356,1,1.0,1.0,0.999279311743,0.0133333333333
QPLIB_10049,4,0,149,0,0,linear,1498,149,0,1,149,min,150,149,False,1647,71,149,11167,Solution found by SCIP,1,Andrea Lodi,0,22185,149.0,10,0,149,0,0,150,149,0.0,indefinite,0,0,0,0,149,10,0,10,0,0,149,quadratic,QBL,-0.0,1,0.998181818182,1.0,0.999279311743,0.0266666666667
QPLIB_10050,0,0,148,0,0,linear,750,148,0,1,148,min,150,148,True,900,36,148,11026,Solution found by CPLEX,1,Andrea Lodi,0,21904,148.0,5,0,148,0,0,150,148,0.0,convex,0,0,0,0,150,5,0,5,0,0,148,quadratic,CBL,-25.69766163,1,1.0,1.0,1.0,0.0
QPLIB_10051,3,0,149,0,0,linear,1498,149,0,1,149,min,150,149,False,1647,40,149,11164,Solution found by SCIP,1,Andrea Lodi,0,22179,149.0,10,0,149,0,0,150,149,0.0,indefinite,0,0,0,0,149,10,0,10,0,0,149,quadratic,QBL,-0.0,1,0.998181818182,1.0,0.999009053646,0.02
QPLIB_10052,2,0,150,0,0,linear,900,150,0,1,150,min,150,150,False,1050,148,150,11315,Solution found by CPLEX,1,Andrea Lodi,0,22480,150.0,6,0,150,0,0,150,150,0.0,indefinite,0,0,0,0,150,6,0,6,0,0,150,quadratic,QBL,-11.81057614,1,1.0,1.0,0.999111111111,0.0133333333333
QPLIB_10053,1,0,149,0,0,linear,1498,149,0,1,149,min,150,149,False,1647,148,149,11168,Solution found by SCIP,1,Andrea Lodi,0,22187,149.0,10,0,149,0,0,150,149,0.0,indefinite,0,0,0,0,149,10,0,10,0,0,149,quadratic,QBL,-0.0,1,0.998181818182,1.0,0.999369397775,0.00666666666667
QPLIB_10054,8,0,173,0,0,linear,1925,173,0,1,170,min,175,173,False,2099,165,1,13571,Solution found by ANTIGONE,4,Andrea Lodi,0,26969,43.25,11,0,173,0,0,175,173,0.0,indefinite,0,0,0,0,174,11,0,11,0,0,173,quadratic,QBL,-10.19706381,1,0.999523809524,1.0,0.901099268268,0.0457142857143
QPLIB_10055,5,0,175,0,0,linear,874,175,0,1,174,min,175,175,False,1049,170,1,14093,Solution found by SCIP,2,Andrea Lodi,0,28011,87.5,5,0,175,0,0,175,175,0.0,indefinite,0,0,0,0,175,5,0,5,0,0,175,quadratic,QBL,-1.258548474,1,0.999047619048,1.0,0.914644897959,0.0285714285714
